ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
STRG.2945.1_ORF_4	1762	-	1	1204	1049	156	0.9827	-0.0221905067474366	2.22044604925031e-16
STRG.2945.1_ORF_5	1762	+	2	590	736	147	1.0862	-0.152754154262739	2.22044604925031e-16
STRG.2950.1_ORF_1	494	+	3	210	386	177	0.8367	0.223822907870957	2.22044604925031e-16
STRG.2950.1_ORF_2	494	-	2	289	134	156	0.9163	-0.00746515010534315	2.22044604925031e-16
STRG.2950.1_ORF_3	494	+	1	352	450	99	0.738	-0.0551731665049853	2.22044604925031e-16
STRG.3016.1_ORF_1	1515	+	3	1035	1418	384	1.0241	0.0328206301653487	2.22044604925031e-16
STRG.3016.1_ORF_2	1515	-	2	632	471	162	0.5792	0.101068964440752	2.22044604925031e-16
STRG.3016.1_ORF_3	1515	+	3	645	791	147	0.8426	0.206198649900018	2.22044604925031e-16
STRG.3016.1_ORF_4	1515	+	2	734	871	138	1.0879	0.153260807320467	2.22044604925031e-16
STRG.3016.1_ORF_5	1515	+	1	547	675	129	0.9586	0.184275866100189	2.22044604925031e-16
STRG.2987.1_ORF_1	778	+	1	1	561	561	0.8727	0.266242639362211	5.43444538368868e-09
STRG.2987.1_ORF_2	778	-	1	373	182	192	0.8272	0.0150515813539401	2.22044604925031e-16
STRG.2987.1_ORF_3	778	-	3	404	225	180	0.7254	0.0506088500915438	2.22044604925031e-16
STRG.2987.1_ORF_4	778	+	2	254	361	108	0.9507	0.0645624717409405	2.22044604925031e-16
STRG.2987.1_ORF_5	778	-	1	103	2	102	0.897	0.0400981720089183	2.22044604925031e-16
STRG.3010.1_ORF_1	1308	+	2	275	886	612	0.971	0.23819106458521	2.22044604925031e-16
STRG.3010.1_ORF_2	1308	+	2	944	1201	258	0.9217	0.433014125640315	2.22044604925031e-16
STRG.3010.1_ORF_3	1308	+	3	717	896	180	0.8966	-0.175175173130352	2.22044604925031e-16
STRG.3010.1_ORF_4	1308	-	2	1259	1116	144	1.0222	0.141433199724276	2.22044604925031e-16
STRG.3010.1_ORF_5	1308	+	3	906	1007	102	1.2061	-0.191292533251044	2.22044604925031e-16
STRG.3254.1_ORF_1	601	+	2	38	535	498	1.1592	0.327334225272867	0.00682237007734099
STRG.3254.1_ORF_2	601	-	2	78	1	78	0.9807	-0.111723246064852	2.22044604925031e-16
STRG.3256.1_ORF_1	659	+	2	44	535	492	0.8341	0.165224164664544	5.28464844361251e-07
STRG.3256.1_ORF_2	659	+	3	318	524	207	0.7315	-0.102089853759657	2.22044604925031e-16
STRG.3256.1_ORF_3	659	-	1	461	366	96	1.0432	-0.197109289064999	2.22044604925031e-16
STRG.3256.1_ORF_4	659	-	3	315	226	90	1.0167	-0.182501244948159	2.22044604925031e-16
STRG.3256.1_ORF_5	659	+	3	552	635	84	0.6882	-0.256016879190054	2.22044604925031e-16
STRG.3261.1_ORF_1	615	+	3	30	569	540	1.1516	0.316412447762348	0.254509333269366
STRG.3261.1_ORF_2	615	-	2	416	63	354	1.041	-0.280179412399217	2.22044604925031e-16
STRG.3262.1_ORF_1	510	+	1	10	465	456	1.062	0.311513124871894	0.590692838787978
STRG.3262.1_ORF_2	510	-	1	309	79	231	0.8798	-0.083073154971802	2.22044604925031e-16
STRG.3262.2_ORF_1	488	+	3	36	443	408	1.0894	0.288372739103023	0.0267882711605512
STRG.3262.2_ORF_2	488	-	1	287	57	231	0.8798	-0.083073154971802	2.22044604925031e-16
STRG.3057.2_ORF_1	2660	+	3	1608	2597	990	0.8504	0.229644171746092	2.22044604925031e-16
STRG.3057.2_ORF_2	2660	+	2	17	682	666	0.7811	0.264575898058361	2.22044604925031e-16
STRG.3057.2_ORF_3	2660	-	1	2315	1953	363	0.9918	0.0723866417469896	2.22044604925031e-16
STRG.3057.2_ORF_4	2660	-	1	1685	1503	183	0.7329	-0.0982227879744895	2.22044604925031e-16
STRG.3057.2_ORF_5	2660	+	2	1463	1639	177	0.4428	-0.133300993121049	2.22044604925031e-16
STRG.3057.3_ORF_1	1934	+	3	882	1871	990	0.8504	0.229644171746092	2.22044604925031e-16
STRG.3057.3_ORF_2	1934	+	2	17	724	708	0.7684	0.280193169675542	2.22044604925031e-16
STRG.3057.3_ORF_3	1934	-	1	1589	1227	363	0.9918	0.0723866417469896	2.22044604925031e-16
STRG.3057.3_ORF_4	1934	+	3	567	806	240	0.4751	-0.024338966071296	2.22044604925031e-16
STRG.3057.3_ORF_5	1934	-	1	959	777	183	0.7329	-0.0982227879744895	2.22044604925031e-16
STRG.3069.2_ORF_1	615	+	2	11	613	603	0.7193	0.0535843782682725	0.994648847268992
STRG.3069.2_ORF_2	615	-	1	207	1	207	1.1061	-0.00220836048314955	2.22044604925031e-16
STRG.3069.2_ORF_3	615	+	1	484	600	117	0.958	-0.318909733242021	2.22044604925031e-16
STRG.3069.2_ORF_4	615	+	3	135	251	117	1.09	-0.223536248718892	2.22044604925031e-16
STRG.3069.2_ORF_5	615	-	2	485	369	117	1.0001	-0.0714220812110336	2.22044604925031e-16
STRG.3170.1_ORF_1	590	+	1	52	519	468	0.4578	-0.0262617018109904	1.8466138647964e-05
STRG.3170.1_ORF_2	590	-	1	188	3	186	0.7902	-0.201980066198733	2.22044604925031e-16
STRG.3205.1_ORF_1	306	+	2	71	157	87	1.0869	0.0287960079418296	2.6008480856375e-12
STRG.3205.1_ORF_2	306	-	2	146	60	87	0.9266	-0.335272503698973	1.63359168751244e-13
STRG.3215.1_ORF_1	628	+	1	394	525	132	0.677	-0.126882417901105	2.22044604925031e-16
STRG.3215.1_ORF_2	628	+	3	69	179	111	0.8655	0.120441080833781	2.22044604925031e-16
STRG.3215.1_ORF_3	628	+	3	255	341	87	0.9577	-0.0390183337122638	2.22044604925031e-16
STRG.3215.1_ORF_4	628	+	2	350	430	81	0.5576	-0.28202957561526	2.22044604925031e-16
STRG.3215.1_ORF_5	628	-	1	283	206	78	0.8466	-0.306490692145676	2.22044604925031e-16
STRG.3217.1_ORF_1	487	-	2	390	262	129	0.8402	-0.095714201112013	2.22044604925031e-16
STRG.3218.1_ORF_1	1773	-	3	625	383	243	0.7265	0.0235091748950107	2.22044604925031e-16
STRG.3218.1_ORF_2	1773	+	1	1513	1695	183	0.5509	0.0500723087868191	2.22044604925031e-16
STRG.3218.1_ORF_3	1773	-	3	1510	1334	177	0.8735	-0.226537918837251	2.22044604925031e-16
STRG.3218.1_ORF_4	1773	+	1	892	1041	150	0.8026	-0.111479566051702	2.22044604925031e-16
STRG.3218.1_ORF_5	1773	+	1	55	147	93	0.9775	-0.431002861649659	2.22044604925031e-16
STRG.3230.2_ORF_1	1968	+	2	14	694	681	1.0228	0.229585535893816	2.22044604925031e-16
STRG.3230.2_ORF_2	1968	+	3	1053	1283	231	0.7073	-0.378254637287355	2.22044604925031e-16
STRG.3230.2_ORF_3	1968	+	1	1531	1749	219	1.1978	0.374957540959774	2.22044604925031e-16
STRG.3230.2_ORF_4	1968	-	2	1151	963	189	0.6272	-0.163203088460428	2.22044604925031e-16
STRG.3230.2_ORF_5	1968	+	3	1782	1931	150	0.5821	-0.165020304797121	2.22044604925031e-16
STRG.3230.4_ORF_1	1262	+	2	14	859	846	1.0484	0.228689915758562	2.22044604925031e-16
STRG.3230.4_ORF_2	1262	+	3	825	1043	219	1.1978	0.374957540959774	2.22044604925031e-16
STRG.3230.4_ORF_3	1262	+	2	1076	1225	150	0.5821	-0.165020304797121	2.22044604925031e-16
STRG.3230.4_ORF_4	1262	-	1	1184	1044	141	0.6482	0.253307242203664	2.22044604925031e-16
STRG.3230.4_ORF_5	1262	+	3	1065	1202	138	0.5581	0.133317210344598	2.22044604925031e-16
STRG.3231.1_ORF_1	1022	+	3	462	686	225	0.9652	0.229628980698834	2.22044604925031e-16
STRG.3231.1_ORF_2	1022	+	2	2	223	222	0.8526	-0.131319291150775	2.22044604925031e-16
STRG.3231.1_ORF_3	1022	+	1	697	915	219	1.1458	0.130967036244991	2.22044604925031e-16
STRG.3231.1_ORF_4	1022	-	3	219	1	219	0.7217	-0.379104785363098	2.22044604925031e-16
STRG.3231.1_ORF_5	1022	+	1	16	210	195	0.8681	0.0834039868119612	2.22044604925031e-16
STRG.3232.1_ORF_1	969	+	2	521	892	372	0.6278	0.128803654850843	2.22044604925031e-16
STRG.3232.1_ORF_2	969	+	3	270	488	219	1.1978	0.374957540959774	2.22044604925031e-16
STRG.3232.1_ORF_3	969	+	2	167	304	138	0.6299	0.0219557950413738	2.22044604925031e-16
STRG.3232.1_ORF_4	969	+	3	510	617	108	0.5609	-0.142786226409944	2.22044604925031e-16
STRG.3232.1_ORF_5	969	+	3	861	953	93	0.5049	-0.205889755147274	2.22044604925031e-16
STRG.3194.2_ORF_1	2144	+	1	661	1146	486	0.8368	0.179054156686666	2.22044604925031e-16
STRG.3194.2_ORF_2	2144	+	2	359	658	300	0.9271	0.205993401360365	2.22044604925031e-16
STRG.3194.2_ORF_3	2144	-	2	667	437	231	0.6879	-0.0379327993407688	2.22044604925031e-16
STRG.3194.2_ORF_4	2144	+	2	26	253	228	0.9602	0.0952327314417039	2.22044604925031e-16
STRG.3194.2_ORF_5	2144	+	3	1188	1394	207	0.9198	-0.0330028733992844	2.22044604925031e-16
STRG.3314.1_ORF_1	1221	-	3	673	200	474	0.4708	0.085075777960926	2.22044604925031e-16
STRG.3314.1_ORF_2	1221	+	3	231	659	429	0.498	0.085943829435828	2.22044604925031e-16
STRG.3314.1_ORF_3	1221	-	1	420	160	261	0.4885	-0.0364856260209006	2.22044604925031e-16
STRG.3314.1_ORF_4	1221	+	1	220	378	159	0.7432	-0.0573763464965393	2.22044604925031e-16
STRG.3314.1_ORF_5	1221	+	1	925	1065	141	0.9603	-0.236123251897183	2.22044604925031e-16
STRG.3316.1_ORF_1	771	+	2	83	619	537	0.9214	0.0536629175340507	1.11158967973155e-10
STRG.3316.1_ORF_2	771	+	1	181	492	312	0.7309	-0.137515292397729	2.22044604925031e-16
STRG.3316.1_ORF_3	771	+	2	665	751	87	0.3378	-0.189746294864133	2.22044604925031e-16
STRG.3316.1_ORF_4	771	+	3	495	578	84	0.9124	-0.271447464192047	2.22044604925031e-16
STRG.3316.1_ORF_5	771	-	3	217	137	81	0.4914	-0.0779471075194047	2.22044604925031e-16
STRG.3316.2_ORF_1	818	+	1	325	666	342	0.9948	0.0494018669876428	2.22044604925031e-16
STRG.3316.2_ORF_2	818	+	3	210	539	330	0.6922	-0.136965838806682	2.22044604925031e-16
STRG.3316.2_ORF_3	818	+	2	83	250	168	0.6991	0.00289903478922307	2.22044604925031e-16
STRG.3316.2_ORF_4	818	+	1	712	798	87	0.3378	-0.189746294864133	2.22044604925031e-16
STRG.3316.2_ORF_5	818	+	2	542	625	84	0.9124	-0.271447464192047	2.22044604925031e-16
STRG.3317.1_ORF_1	726	-	1	324	142	183	0.9722	0.0275082035016836	2.22044604925031e-16
STRG.3317.1_ORF_2	726	+	1	424	585	162	1.0651	0.234821349142761	2.22044604925031e-16
STRG.3317.1_ORF_3	726	-	1	138	7	132	0.7157	-0.0955768469951753	2.22044604925031e-16
STRG.3317.1_ORF_4	726	+	1	247	351	105	0.938	0.19087570009738	2.22044604925031e-16
STRG.3317.1_ORF_5	726	+	1	112	192	81	0.5804	0.0556312188180654	2.22044604925031e-16
STRG.3319.1_ORF_1	1489	+	2	17	1333	1317	0.9942	0.169241848831362	0.00945389500035255
STRG.3319.1_ORF_2	1489	+	1	79	540	462	0.8951	-0.0527455176025299	2.22044604925031e-16
STRG.3319.1_ORF_3	1489	+	1	769	1200	432	0.9276	-0.12724976276394	2.22044604925031e-16
STRG.3319.1_ORF_4	1489	-	3	1244	1026	219	1.1113	-0.226332880861216	2.22044604925031e-16
STRG.3319.1_ORF_5	1489	-	2	492	355	138	1.0998	-0.266533540241771	2.22044604925031e-16
STRG.3407.2_ORF_1	1247	+	3	9	1124	1116	0.6844	0.243730084567789	0.139855171547809
STRG.3407.2_ORF_2	1247	+	2	437	664	228	0.5274	-0.0752452142902473	2.22044604925031e-16
STRG.3407.2_ORF_3	1247	+	1	847	975	129	0.9481	-0.297205248085674	2.22044604925031e-16
STRG.3407.2_ORF_4	1247	+	2	722	850	129	1.1233	-0.271315956947774	2.22044604925031e-16
STRG.3407.2_ORF_5	1247	-	2	1150	1022	129	0.8196	0.172797009057677	2.22044604925031e-16
STRG.4094.1_ORF_1	1248	+	1	349	1029	681	0.6699	0.229341777070399	2.22044604925031e-16
STRG.4094.1_ORF_2	1248	-	3	439	266	174	0.7956	-0.174696975726338	2.22044604925031e-16
STRG.4094.1_ORF_3	1248	-	1	768	613	156	0.8678	-0.227809102958251	2.22044604925031e-16
STRG.4094.1_ORF_4	1248	-	1	1239	1105	135	0.8759	0.054675911453456	2.22044604925031e-16
STRG.4094.1_ORF_5	1248	+	2	578	703	126	0.8771	0.00662561103841925	2.22044604925031e-16
STRG.4106.1_ORF_1	682	+	3	3	617	615	0.5682	-0.0355640442627547	0.0977010745529746
STRG.4106.1_ORF_2	682	-	1	574	359	216	0.588	-0.23735186279363	2.22044604925031e-16
STRG.4106.1_ORF_3	682	-	1	331	164	168	1.0425	-0.0708599170011347	2.22044604925031e-16
STRG.4106.1_ORF_4	682	+	1	142	276	135	1.0962	-0.0867191822443075	2.22044604925031e-16
STRG.4106.1_ORF_5	682	+	1	283	399	117	0.8916	0.0144453818369867	2.22044604925031e-16
STRG.4111.1_ORF_1	407	+	1	37	405	369	0.9316	0.217171174822791	0.615433175167955
STRG.4139.1_ORF_1	519	+	2	281	517	237	0.4364	-0.155165411373397	2.22044604925031e-16
STRG.4139.1_ORF_2	519	-	2	212	3	210	0.8836	0.116561530775149	2.22044604925031e-16
STRG.4139.1_ORF_3	519	+	1	349	504	156	0.6811	-0.154409513278623	2.22044604925031e-16
STRG.4139.1_ORF_4	519	+	3	342	455	114	0.4778	-0.127428467540255	2.22044604925031e-16
STRG.4219.1_ORF_1	443	+	1	37	414	378	1.0861	0.464445716496675	0.301053475838903
STRG.4219.1_ORF_2	443	+	2	263	442	180	1.1498	-0.0268691955672552	2.22044604925031e-16
STRG.4219.1_ORF_3	443	-	2	274	182	93	0.8557	0.0565679914517077	2.22044604925031e-16
STRG.4220.1_ORF_1	446	-	1	422	39	384	1.1272	0.480962215646273	0.440480417284835
STRG.4220.1_ORF_2	446	-	2	196	29	168	0.8926	-0.0445640619516135	2.22044604925031e-16
STRG.4220.1_ORF_3	446	+	2	41	154	114	0.8154	0.077517735311682	2.22044604925031e-16
STRG.4220.1_ORF_4	446	+	2	185	277	93	0.8557	0.0565679914517077	2.22044604925031e-16
STRG.4220.2_ORF_1	457	-	1	433	50	384	1.1272	0.480962215646273	0.167639170863095
STRG.4220.2_ORF_2	457	-	2	207	40	168	0.8926	-0.0445640619516135	2.22044604925031e-16
STRG.4220.2_ORF_3	457	+	1	52	165	114	0.8154	0.077517735311682	2.22044604925031e-16
STRG.4220.2_ORF_4	457	+	1	196	288	93	0.8557	0.0565679914517077	2.22044604925031e-16
STRG.3486.5_ORF_1	2284	+	1	82	1704	1623	0.9938	0.393819708981996	2.22044604925031e-16
STRG.3486.5_ORF_2	2284	-	3	1556	813	744	1.2678	0.508130717477508	2.22044604925031e-16
STRG.3486.5_ORF_3	2284	+	2	689	994	306	1.2192	0.109694259253996	2.22044604925031e-16
STRG.3486.5_ORF_4	2284	-	1	925	680	246	1.2545	0.225578384242131	2.22044604925031e-16
STRG.3486.5_ORF_5	2284	+	3	90	299	210	0.6944	0.00520354254306738	2.22044604925031e-16
STRG.3498.1_ORF_1	1080	+	3	18	929	912	1.1121	0.461961761452242	0.000938687160363429
STRG.3498.1_ORF_2	1080	-	2	947	681	267	0.8216	0.0720584076722843	2.22044604925031e-16
STRG.3498.1_ORF_3	1080	+	2	554	745	192	1.061	-0.0123983658616995	2.22044604925031e-16
STRG.3498.1_ORF_4	1080	+	1	754	918	165	1.0864	0.0463996182308886	2.22044604925031e-16
STRG.3498.1_ORF_5	1080	+	1	229	378	150	1.0178	0.0446037541048563	2.22044604925031e-16
STRG.3792.4_ORF_1	2341	+	3	114	1487	1374	1.0861	0.413326594903532	2.22044604925031e-16
STRG.3792.4_ORF_2	2341	+	1	532	1125	594	1.2231	-0.0402554180835764	2.22044604925031e-16
STRG.3792.4_ORF_3	2341	-	2	1137	925	213	1.0774	-0.145413167963524	2.22044604925031e-16
STRG.3792.4_ORF_4	2341	-	3	440	231	210	1.2167	-0.0313547239668148	2.22044604925031e-16
STRG.3792.4_ORF_5	2341	+	1	295	486	192	1.2541	-0.0167295490759841	2.22044604925031e-16
STRG.3833.2_ORF_1	1583	+	1	25	1467	1443	0.8825	0.297986523779349	0.845780795219144
STRG.3833.2_ORF_2	1583	+	2	563	778	216	0.8234	0.0151333133640194	2.22044604925031e-16
STRG.3833.2_ORF_3	1583	-	3	1164	952	213	0.8314	-0.103075851237656	2.22044604925031e-16
STRG.3833.2_ORF_4	1583	-	2	1348	1148	201	0.9884	0.00538366947450013	2.22044604925031e-16
STRG.3833.2_ORF_5	1583	+	2	1163	1285	123	1.1657	0.172047613800035	2.22044604925031e-16
STRG.3838.7_ORF_1	1677	+	3	9	1598	1590	1.0352	0.340914625423931	0.999973686758752
STRG.3838.7_ORF_2	1677	+	1	538	822	285	0.9331	0.0829895484267662	2.22044604925031e-16
STRG.3838.7_ORF_3	1677	+	1	1417	1668	252	0.972	0.143349333413429	2.22044604925031e-16
STRG.3838.7_ORF_4	1677	-	2	695	507	189	0.7968	-0.0684866439850055	2.22044604925031e-16
STRG.3838.7_ORF_5	1677	-	2	212	60	153	0.9826	-0.0456603460043347	2.22044604925031e-16
STRG.3838.8_ORF_1	1671	+	3	9	1592	1584	1.0352	0.342800183405594	0.999972033483644
STRG.3838.8_ORF_2	1671	+	1	538	822	285	0.9331	0.0829895484267662	2.22044604925031e-16
STRG.3838.8_ORF_3	1671	+	1	1417	1662	246	0.972	0.162266842834365	2.22044604925031e-16
STRG.3838.8_ORF_4	1671	-	2	695	507	189	0.7968	-0.0684866439850055	2.22044604925031e-16
STRG.3838.8_ORF_5	1671	-	2	212	60	153	0.9826	-0.0456603460043347	2.22044604925031e-16
STRG.3860.2_ORF_1	1426	+	2	155	1183	1029	0.9394	0.186032997582709	2.22044604925031e-16
STRG.3860.2_ORF_2	1426	+	1	406	597	192	1.003	-0.136939979453426	2.22044604925031e-16
STRG.3860.2_ORF_3	1426	-	3	173	3	171	0.5138	-0.113520150828744	2.22044604925031e-16
STRG.3860.2_ORF_4	1426	+	3	882	1037	156	0.9152	0.0659121298101085	2.22044604925031e-16
STRG.3860.2_ORF_5	1426	+	1	1279	1425	147	1.0032	-0.150968941777234	2.22044604925031e-16
STRG.3867.2_ORF_1	1521	+	3	111	965	855	0.9218	0.407296899889393	2.22044604925031e-16
STRG.3867.2_ORF_2	1521	+	1	1129	1359	231	0.3813	-0.289795166808222	2.22044604925031e-16
STRG.3867.2_ORF_3	1521	+	1	610	822	213	1.1325	-0.0660641043743679	2.22044604925031e-16
STRG.3867.2_ORF_4	1521	+	3	1095	1187	93	0.7804	-0.601113962831932	2.22044604925031e-16
STRG.3867.2_ORF_5	1521	-	2	191	102	90	1.1745	-0.339511006878709	2.22044604925031e-16
STRG.3883.1_ORF_1	430	-	3	407	24	384	1.0377	0.478435984263446	0.837930314454092
STRG.3883.1_ORF_2	430	-	2	231	31	201	1.0192	-0.0108186122966615	2.19152265348339e-12
STRG.3883.1_ORF_3	430	-	1	181	2	180	0.7822	0.0618494586527786	1.69561214630049e-13
STRG.3883.1_ORF_4	430	+	2	26	139	114	0.9792	-0.010373547654581	2.22044604925031e-16
STRG.3883.1_ORF_5	430	+	2	176	271	96	0.7394	-0.0690672063097472	2.22044604925031e-16
STRG.3521.2_ORF_1	3208	+	3	102	2789	2688	0.9134	0.31047700786905	1.1274600059984e-13
STRG.3521.2_ORF_2	3208	-	2	2589	2287	303	0.9634	-0.0828955824224593	2.22044604925031e-16
STRG.3521.2_ORF_3	3208	-	2	1557	1267	291	1.078	-0.0253673729929606	2.22044604925031e-16
STRG.3521.2_ORF_4	3208	-	2	474	193	282	0.8478	-0.0380845406745549	2.22044604925031e-16
STRG.3521.2_ORF_5	3208	+	1	1141	1401	261	1.0599	0.0497997053184219	2.22044604925031e-16
STRG.3521.4_ORF_1	3257	+	3	102	2531	2430	0.9347	0.28403307319499	2.22044604925031e-16
STRG.3521.4_ORF_2	3257	-	2	2638	2222	417	0.7436	0.115812232018258	2.22044604925031e-16
STRG.3521.4_ORF_3	3257	-	3	1557	1267	291	1.078	-0.0253673729929606	2.22044604925031e-16
STRG.3521.4_ORF_4	3257	+	1	2554	2838	285	1.0369	0.377530715966706	2.22044604925031e-16
STRG.3521.4_ORF_5	3257	-	3	474	193	282	0.8478	-0.0380845406745549	2.22044604925031e-16
STRG.3557.1_ORF_1	451	-	1	286	2	285	0.8492	0.0919993459563808	2.73992489764611e-08
STRG.3557.1_ORF_2	451	+	1	187	312	126	0.8123	-0.148185080556035	2.22044604925031e-16
STRG.3557.1_ORF_3	451	-	2	120	1	120	1.1138	0.0333150702400709	2.22044604925031e-16
STRG.3557.1_ORF_4	451	+	1	346	432	87	1.1113	-0.140972121743851	2.22044604925031e-16
STRG.3732.1_ORF_1	1304	+	2	32	1285	1254	0.7509	0.261467930265946	0.999959917486109
STRG.3732.1_ORF_2	1304	-	3	1275	1003	273	1.2185	-0.134006781106179	2.22044604925031e-16
STRG.3732.1_ORF_3	1304	-	2	526	257	270	0.7976	-0.0171426512749552	2.22044604925031e-16
STRG.3732.1_ORF_4	1304	+	1	217	339	123	0.8612	-0.226303299234802	2.22044604925031e-16
STRG.3732.1_ORF_5	1304	+	3	657	776	120	1.0438	-0.165904637664191	2.22044604925031e-16
STRG.3632.1_ORF_1	411	-	3	274	146	129	1.0881	0.0474631365404331	2.22044604925031e-16
STRG.3687.2_ORF_1	404	-	3	294	148	147	0.9121	-0.184490847293401	2.22044604925031e-16
STRG.3687.2_ORF_2	404	+	1	16	126	111	1.091	-0.414296057456612	2.22044604925031e-16
STRG.3687.2_ORF_3	404	+	1	286	396	111	0.8694	0.0295844161195806	2.22044604925031e-16
STRG.3687.2_ORF_4	404	-	2	325	215	111	0.8693	-0.287458832459141	2.22044604925031e-16
STRG.3687.2_ORF_5	404	+	2	200	289	90	0.9257	-0.33994918424184	2.22044604925031e-16
STRG.3990.2_ORF_1	4529	+	1	1	4101	4101	1.0062	0.273890191245588	0.260443432319673
STRG.3990.2_ORF_2	4529	-	1	1535	1107	429	0.9493	0.107882134355354	2.22044604925031e-16
STRG.3990.2_ORF_3	4529	+	2	1613	1987	375	1.0818	0.017843638569211	2.22044604925031e-16
STRG.3990.2_ORF_4	4529	+	2	398	655	258	0.9949	-0.0151755929582646	2.22044604925031e-16
STRG.3990.2_ORF_5	4529	-	2	2074	1838	237	1.1919	0.0822159361134474	2.22044604925031e-16
STRG.3996.1_ORF_1	3156	+	1	1	2718	2718	1.1465	0.388251417479744	9.20031595008177e-09
STRG.3996.1_ORF_2	3156	+	2	1430	1795	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.1_ORF_3	3156	-	2	302	33	270	0.8704	0.0963803087760684	2.22044604925031e-16
STRG.3996.1_ORF_4	3156	+	2	1880	2140	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.1_ORF_5	3156	+	2	29	247	219	1.1615	0.0991855323823938	2.22044604925031e-16
STRG.3996.2_ORF_1	3183	+	1	1	2745	2745	1.1465	0.386773033421678	1.27288744097766e-08
STRG.3996.2_ORF_2	3183	+	2	1457	1822	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.2_ORF_3	3183	-	2	329	33	297	0.9496	0.123667953320114	2.22044604925031e-16
STRG.3996.2_ORF_4	3183	+	2	1907	2167	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.2_ORF_5	3183	+	2	29	274	246	1.075	0.168228929360783	2.22044604925031e-16
STRG.3996.3_ORF_1	3168	+	1	1	2718	2718	1.1465	0.388251417479744	2.07937493948079e-09
STRG.3996.3_ORF_2	3168	+	2	1430	1795	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.3_ORF_3	3168	-	2	302	33	270	0.8704	0.0963803087760684	2.22044604925031e-16
STRG.3996.3_ORF_4	3168	+	2	1880	2140	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.3_ORF_5	3168	+	2	29	247	219	1.1615	0.0991855323823938	2.22044604925031e-16
STRG.3996.4_ORF_1	3246	+	1	727	2808	2082	1.1662	0.375183199172854	2.22044604925031e-16
STRG.3996.4_ORF_2	3246	+	1	1	723	723	1.1358	0.385939606704948	2.22044604925031e-16
STRG.3996.4_ORF_3	3246	+	2	1520	1885	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.4_ORF_4	3246	-	2	302	33	270	0.8704	0.0963803087760684	2.22044604925031e-16
STRG.3996.4_ORF_5	3246	+	2	1970	2230	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.5_ORF_1	3547	+	2	1028	3109	2082	1.1662	0.375183199172854	2.22044604925031e-16
STRG.3996.5_ORF_2	3547	+	1	1	690	690	1.1309	0.38197359168735	2.22044604925031e-16
STRG.3996.5_ORF_3	3547	+	3	1821	2186	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.5_ORF_4	3547	-	3	329	33	297	0.9496	0.123667953320114	2.22044604925031e-16
STRG.3996.5_ORF_5	3547	+	3	2271	2531	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.6_ORF_1	3213	+	1	1	2745	2745	1.1465	0.386773033421678	3.09111497153776e-10
STRG.3996.6_ORF_2	3213	+	2	1457	1822	366	1.0674	-0.0591576769055809	2.22044604925031e-16
STRG.3996.6_ORF_3	3213	-	2	329	33	297	0.9496	0.123667953320114	2.22044604925031e-16
STRG.3996.6_ORF_4	3213	+	2	1907	2167	261	1.2359	0.00528181363726202	2.22044604925031e-16
STRG.3996.6_ORF_5	3213	+	2	29	274	246	1.075	0.168228929360783	2.22044604925031e-16
STRG.4005.1_ORF_1	1239	+	3	57	836	780	0.6562	0.292751189318051	2.22044604925031e-16
STRG.4005.1_ORF_2	1239	-	1	279	1	279	1.0005	0.0783330948315677	2.22044604925031e-16
STRG.4005.1_ORF_3	1239	+	1	433	669	237	0.8293	0.0740545748994386	2.22044604925031e-16
STRG.4005.1_ORF_4	1239	-	3	307	128	180	1.1105	0.280539713661949	2.22044604925031e-16
STRG.4005.1_ORF_5	1239	-	2	788	627	162	0.8845	0.0753151377505564	2.22044604925031e-16
STRG.4016.3_ORF_1	1975	+	1	7	1896	1890	1.0477	0.286373377407197	0.999999275371754
STRG.4016.3_ORF_2	1975	+	3	1533	1931	399	0.474	-0.124610917836677	2.22044604925031e-16
STRG.4016.3_ORF_3	1975	-	3	386	57	330	1.1688	0.102991022792631	2.22044604925031e-16
STRG.4016.3_ORF_4	1975	-	3	1160	927	234	1.0433	0.236362470034915	2.22044604925031e-16
STRG.4016.3_ORF_5	1975	-	2	549	355	195	1.2176	-0.0567011674360646	2.22044604925031e-16
STRG.3773.1_ORF_1	2887	+	2	1586	1927	342	0.5494	0.0345604879031442	2.22044604925031e-16
STRG.3773.1_ORF_2	2887	+	3	1059	1370	312	0.4284	0.297013418671827	2.22044604925031e-16
STRG.3773.1_ORF_3	2887	+	2	767	1057	291	0.4907	-0.0194538975742651	2.22044604925031e-16
STRG.3773.1_ORF_4	2887	+	2	1127	1408	282	0.4428	0.301409450117522	2.22044604925031e-16
